reporting_month,exception_category,count,value,variance,max_ageing_days
JUNE,Duplicate credit,5,234660.91,0.0,23
JUNE,Internal self-netting pair,3,0.0,0.0,23
JUNE,Orphan credit,4,210295.43,210295.43,22
JUNE,Reference/amount mismatch,2,36849.71,-667.15,26
JUNE,Short settlement,2,157671.49,-726.77,21
JUNE,Unsettled transaction,24,1475441.7,-1475441.7,22
MAY,Duplicate credit,6,261562.13,0.0,25
MAY,Internal self-netting pair,4,0.0,0.0,28
MAY,Orphan credit,5,212381.41,212381.41,26
MAY,Reference/amount mismatch,3,74256.73,-941.29,19
MAY,Short settlement,2,126464.21,-541.93,19
MAY,Unsettled transaction,30,1566002.71,-1566002.71,29
