reporting_month,source_month,settlement_month,settlement_type,record_type,match_group_id,internal_transaction_ids,internal_payment_refs,bank_line_ids,bank_references,cardinality,internal_amount,bank_amount,variance,reconciliation_status,match_method,comments
MAY,MAY,,Unsettled,MATCH_GROUP,MAY-0001,TXNMAY00292|TXNMAY00293,PRMAY25145751|PRMAY25145751,,,2:0,0.0,0.0,0.0,EXCEPTION,Internal self-netting pair,Offsetting SALE and REVERSAL share payment_ref and net to zero; no bank settlement expected.
MAY,MAY,,Unsettled,MATCH_GROUP,MAY-0002,TXNMAY00294|TXNMAY00295,PRMAY37659807|PRMAY37659807,,,2:0,0.0,0.0,0.0,EXCEPTION,Internal self-netting pair,Offsetting SALE and REVERSAL share payment_ref and net to zero; no bank settlement expected.
MAY,MAY,,Unsettled,MATCH_GROUP,MAY-0003,TXNMAY00289|TXNMAY00288,PRMAY39888974|PRMAY39888974,,,2:0,0.0,0.0,0.0,EXCEPTION,Internal self-netting pair,Offsetting SALE and REVERSAL share payment_ref and net to zero; no bank settlement expected.
MAY,MAY,,Unsettled,MATCH_GROUP,MAY-0004,TXNMAY00290|TXNMAY00291,PRMAY60905625|PRMAY60905625,,,2:0,0.0,0.0,0.0,EXCEPTION,Internal self-netting pair,Offsetting SALE and REVERSAL share payment_ref and net to zero; no bank settlement expected.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0005,TXNMAY00214|TXNMAY00210|TXNMAY00213|TXNMAY00212|TXNMAY00209|TXNMAY00211|TXNMAY00215,PRMAY45496951|PRMAY38876195|PRMAY11097552|PRMAY97813295|PRMAY62780072|PRMAY47763008|PRMAY59115280,BLMAY00220,UTR6131005449,7:1,65577.19,65246.93,-330.26,PARTIAL_MATCH,Batch ID match,Batch settlement is net of charges; bank amount is short versus internal batch total.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0006,TXNMAY00217|TXNMAY00220|TXNMAY00219|TXNMAY00221|TXNMAY00216|TXNMAY00218,PRMAY93650068|PRMAY36717096|PRMAY55511258|PRMAY16080513|PRMAY70445541|PRMAY22976369,BLMAY00221,UTR2962750929,6:1,60887.02,60675.35,-211.67,PARTIAL_MATCH,Batch ID match,Batch settlement is net of charges; bank amount is short versus internal batch total.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0007,TXNMAY00226|TXNMAY00223|TXNMAY00227|TXNMAY00225|TXNMAY00224|TXNMAY00228|TXNMAY00229|TXNMAY00222,PRMAY59440148|PRMAY92745294|PRMAY65907088|PRMAY50237208|PRMAY78090664|PRMAY94457912|PRMAY45638891|PRMAY92284610,BLMAY00222,UTR4098389895,8:1,95184.96,95184.96,0.0,MATCHED,Batch ID match,Batch total agrees.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0008,TXNMAY00234|TXNMAY00230|TXNMAY00232|TXNMAY00235|TXNMAY00236|TXNMAY00233|TXNMAY00231,PRMAY37365878|PRMAY93179531|PRMAY24749927|PRMAY92071195|PRMAY18359252|PRMAY52103092|PRMAY42507072,BLMAY00223,UTR3227727430,7:1,57896.9,57896.9,0.0,MATCHED,Batch ID match,Batch total agrees.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0009,TXNMAY00237|TXNMAY00239|TXNMAY00240|TXNMAY00241|TXNMAY00242|TXNMAY00238,PRMAY52111160|PRMAY96343485|PRMAY35805259|PRMAY50063879|PRMAY49945150|PRMAY81555103,BLMAY00224,UTR4027526473,6:1,68558.65,68558.65,0.0,MATCHED,Batch ID match,Batch total agrees.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0010,TXNMAY00247|TXNMAY00246|TXNMAY00245|TXNMAY00248|TXNMAY00244|TXNMAY00243,PRMAY20607151|PRMAY29659692|PRMAY62953249|PRMAY98043078|PRMAY82905845|PRMAY46702849,BLMAY00225,UTR8504761698,6:1,67098.9,67098.9,0.0,MATCHED,Batch ID match,Batch total agrees.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0011,TXNMAY00249|TXNMAY00251|TXNMAY00252|TXNMAY00253|TXNMAY00250,PRMAY85432781|PRMAY99903592|PRMAY17045237|PRMAY73404979|PRMAY92634772,BLMAY00226,UTR1590416424,5:1,35691.14,35691.14,0.0,MATCHED,Batch ID match,Batch total agrees.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0012,TXNMAY00257|TXNMAY00258|TXNMAY00254|TXNMAY00255|TXNMAY00256,PRMAY41168067|PRMAY33496796|PRMAY73847325|PRMAY48553376|PRMAY17940667,BLMAY00227,UTR4949801453,5:1,64010.32,64010.32,0.0,MATCHED,Batch ID match,Batch total agrees.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0013,TXNMAY00263|TXNMAY00260|TXNMAY00264|TXNMAY00259|TXNMAY00261|TXNMAY00262|TXNMAY00265,PRMAY28012011|PRMAY86230551|PRMAY25119192|PRMAY48851599|PRMAY54968591|PRMAY96075494|PRMAY71594457,BLMAY00228,UTR4086355679,7:1,74738.79,74738.79,0.0,MATCHED,Batch ID match,Batch total agrees.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0014,TXNMAY00269|TXNMAY00270|TXNMAY00267|TXNMAY00266|TXNMAY00271|TXNMAY00268,PRMAY99826000|PRMAY28872606|PRMAY95728324|PRMAY35925669|PRMAY43292316|PRMAY79159799,BLMAY00229,UTR6415031531,6:1,53716.49,53716.49,0.0,MATCHED,Batch ID match,Batch total agrees.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0015,TXNMAY00073,PRMAY11698142,BLMAY00073,UTR4037867512,1:1,78165.85,78165.85,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0016,TXNMAY00108,PRMAY12059919,BLMAY00108,UTR8270110908,1:1,13908.73,13908.73,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0017,TXNMAY00079,PRMAY12314351,BLMAY00079,UTR6879898071,1:1,28128.82,28128.82,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0018,TXNMAY00168,PRMAY12446861,BLMAY00168,UTR1590838716,1:1,29515.06,29515.06,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0019,TXNMAY00117,PRMAY12944682,BLMAY00117,UTR8495457335,1:1,37752.59,37752.59,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0020,TXNMAY00046,PRMAY13176186,BLMAY00046,UTR7482848011,1:1,18549.05,18549.05,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0021,TXNMAY00076,PRMAY13852048,BLMAY00076,UTR8721631198,1:1,80877.78,80877.78,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0022,TXNMAY00125,PRMAY14994527,BLMAY00125,UTR5877639950,1:1,94614.12,94614.12,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0023,TXNMAY00296,PRMAY15937353,BLMAY00245,UTR2242377075,1:1,29142.95,28904.03,-238.92,PARTIAL_MATCH,Reference aggregate match,"Related bank lines found, but the net amount does not fully reconcile."
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0024,TXNMAY00049,PRMAY15957459,BLMAY00049,UTR9249648005,1:1,41566.45,41566.45,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0025,TXNMAY00150,PRMAY16095815,BLMAY00150,UTR5060136033,1:1,37701.21,37701.21,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0026,TXNMAY00187,PRMAY16416148,BLMAY00187,UTR8487449580,1:1,31699.86,31699.86,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0027,TXNMAY00130,PRMAY16788532,BLMAY00130,UTR3380304322,1:1,23328.15,23328.15,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0028,TXNMAY00039,PRMAY16818112,BLMAY00039,UTR4311931853,1:1,60348.45,60348.45,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0029,TXNMAY00112,PRMAY17532195,BLMAY00112,UTR1773338452,1:1,34214.4,34214.4,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0030,TXNMAY00092,PRMAY18004482,BLMAY00092,UTR8252816758,1:1,75351.56,75351.56,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0031,TXNMAY00185,PRMAY18469210,BLMAY00185,UTR5474951950,1:1,73794.04,73794.04,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0032,TXNMAY00193,PRMAY19023909,BLMAY00193,UTR3598862507,1:1,74014.33,74014.33,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0033,TXNMAY00032,PRMAY19121552,BLMAY00032,UTR3553440342,1:1,81907.37,81907.37,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0034,TXNMAY00110,PRMAY19183277,BLMAY00110,UTR5201928545,1:1,60052.51,60052.51,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0035,TXNMAY00146,PRMAY19339597,BLMAY00146,UTR7098134112,1:1,70456.82,70456.82,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0036,TXNMAY00022,PRMAY19528530,BLMAY00022,UTR9894264595,1:1,60047.01,60047.01,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0037,TXNMAY00091,PRMAY19553585,BLMAY00091,UTR1610900200,1:1,22366.91,22366.91,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0038,TXNMAY00041,PRMAY20099059,BLMAY00041,UTR1547374338,1:1,85897.23,85897.23,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0039,TXNMAY00169,PRMAY20356922,BLMAY00169,UTR3654424954,1:1,80259.59,80259.59,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0040,TXNMAY00178,PRMAY20633503,BLMAY00178,UTR8628603366,1:1,24498.79,24498.79,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0041,TXNMAY00287,PRMAY20770971,BLMAY00244,UTR3271361431,1:1,12850.78,12850.78,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0042,TXNMAY00166,PRMAY20939011,BLMAY00166,UTR5028688786,1:1,63127.25,63127.25,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0043,TXNMAY00087,PRMAY21432787,BLMAY00087,UTR6928678489,1:1,11473.29,11473.29,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0044,TXNMAY00078,PRMAY21490777,BLMAY00078,UTR7403028869,1:1,68477.07,68477.07,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0045,TXNMAY00013,PRMAY22201654,BLMAY00013,UTR3561557300,1:1,4714.28,4714.28,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0046,TXNMAY00094,PRMAY22257687,BLMAY00094,UTR8093179263,1:1,91391.08,91391.08,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0047,TXNMAY00141,PRMAY22960658,BLMAY00141,UTR7707379050,1:1,70250.92,70250.92,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0048,TXNMAY00143,PRMAY23905032,BLMAY00143,UTR7684109313,1:1,48327.34,48327.34,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0049,TXNMAY00155,PRMAY24208709,BLMAY00155,UTR9033841191,1:1,41530.35,41530.35,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0050,TXNMAY00056,PRMAY24305904,BLMAY00056,UTR3394039673,1:1,40532.6,40532.6,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0051,TXNMAY00048,PRMAY24549543,BLMAY00048,UTR6111349421,1:1,41424.92,41424.92,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0052,TXNMAY00026,PRMAY24665841,BLMAY00026,UTR6491309593,1:1,18403.16,18403.16,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0053,TXNMAY00015,PRMAY25374874,BLMAY00015,UTR2867302554,1:1,84083.71,84083.71,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0054,TXNMAY00144,PRMAY25419645,BLMAY00144,UTR2148679234,1:1,26644.34,26644.34,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0055,TXNMAY00057,PRMAY26288475,BLMAY00057,UTR7462972995,1:1,12883.88,12883.88,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0056,TXNMAY00100,PRMAY26297533,BLMAY00100,UTR9648665968,1:1,92455.66,92455.66,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0057,TXNMAY00084,PRMAY26948946,BLMAY00084,UTR6516195409,1:1,82536.7,82536.7,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0058,TXNMAY00065,PRMAY28213276,BLMAY00065,UTR7247886041,1:1,17468.83,17468.83,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0059,TXNMAY00151,PRMAY28419343,BLMAY00151,UTR8503368512,1:1,24460.47,24460.47,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0060,TXNMAY00177,PRMAY28468304,BLMAY00177,UTR3642900640,1:1,27431.82,27431.82,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
MAY,MAY,MAY,Same-month settlement,MATCH_GROUP,MAY-0061,TXNMAY00132,PRMAY29419691,BLMAY00132,UTR5358791907,1:1,51435.41,51435.41,0.0,MATCHED,Reference + exact amount,Related bank line selected; any redundant related credits remain unconsumed for duplicate-credit exception handling.
