reporting_month,status,group_or_item_count,internal_transaction_count,internal_value,bank_value,net_variance
May,MATCHED,224,274,11447030.7,11447030.7,0.0
May,PARTIAL_MATCH,5,16,200720.94,199237.72,-1483.22
May,OPEN,30,30,1566002.71,0.0,-1566002.71
May,EXCEPTION,15,19,0.0,473943.54,473943.54
May,BACKLOG_CLEARED,0,0,0.0,0.0,0.0
June,MATCHED,226,263,10782386.7,10782386.7,0.0
June,PARTIAL_MATCH,4,17,194521.2,193127.28,-1393.92
June,OPEN,32,32,1852515.99,0.0,-1852515.99
June,EXCEPTION,12,15,0.0,444956.34,444956.34
June,BACKLOG_CLEARED,22,22,1188928.42,1188928.42,0.0
